id,titre,description
1,Développeur Front Angular Freelance,""Vous intégrerez l'équipe composé de 3 développeurs back et 1 développeur front en étroite collaboration avec l'équipe e-commerce en accomplissant les activités suivantes:· Participer à  la conception et assurer la traduction technique des User Stories.· Développer les nouvelles fonctionnalités Cotéfront-end.· Participer à  l'amélioration de la qualité du code.· Assurer le deploiement et le suivi des applications en production.· Partager les bonnes pratiques  les difficultés rencontrées et l'avancement des projets avec l'équipe.Environnement technique : Angular 12 et GraphQL et REST et git et NGRX et Ionic/Capacitor et GCP et Kubernetes Méthodologie de travail : Agile""
2,Développeur Angular,""Vous souhaitez grandir et affirmer votre technique dans une société incontournable dans le secteur de l'énergie électrique ?Alors rejoignez notre partenaire et référencé sur la scà¨ne mondial et spécialisé dans les solutions de recharge.Evoluant au sein d'une équipe de 4 développeurs web et en communication avec les 10 autres informaticiens de votre pà´le et vous garantirez une interface cliente toujours plus performante en cohérence avec le travail de l'équipe logiciel embarqué.Vous aurez pour but de : Développer en front des interfaces clients sur Angular js Intégrer une équipe trà¨s technique et communiquer avec les différents acteurs de la chaine de valeur numérique Participer aux décisions techniques et à  la roadmap avec le reste de l'équipe Maintenir la documentation interne et définir les bonnes pratiques de codage.""
3,DEVELOPPEUR SE FRONT END ANGULAR,""Dans le cadre du développement de notre ERP et en lien avec nos équipes et projets vous participerez à  l'implémentation du design de nos produits. Vous participerez également au développement des nouveaux modules en cours de construction au sein de nos équipes projets; Vous mettez en Å“uvre des layout en CSS HTML Bootstrap ainsi que des interfaces responsives. Vous implémentez la logique des modules en utilisant une technologie définie telle qu'Angular; Vous travailler avec des REST API et spécifications Open API pour récupérer et normaliser les données du serveur.""
4,Développeur frontend javascript vue.js,""Dans notre équipe tech tu participeras et assureras la delivery des évolutions sur notre front HTML  Javascript vue js Tu travailleras en étroite collaboration avec notre Tech Lead et avec l'équipe produit Tu travailleras sur l'amélioration et la sécurisation et le maintien de la conformité d'un backoffice web métier fonctionnellement riche Avec le reste de l'équipe et tu trouveras des solutions simples et rapides à  des problématiques complexes et en veillant à  la disponibilité et à  la sécurité de nos services""
5,Développeur Front End Javascript Full Remote,""Développer de nouvelles fonctionnalités sur les applications Web actuelles et celles en train de se construireEntretenir les git repositories (Gitlab)S'impliquer dans les cérémonies scrum (daily sprint planning grooming retro demo)àŠtre force de proposition sur les orientations UX et de DesignStack technique :Langage: Typescript html scss Frameworks : VueJs NuxtJS Outils : Figma GitLab Docker Jira""
6,Dévelopeur.se Vue/Node,""Nous sommes une petite équipe tech et avons établi de bonnes bases en un an de développement mais nous devons accélérer et nous ne manquons pas de sujets ! C'est pourquoi nous avons besoin de renforcer notre équipe. Selon tes envies et tes compétences  tu pourras intervenir sur tout ou partie de notre stack technique : FrontEnd : VueJS TypeScript Vuetify BackEnd : NodeJS TypeScript NestJS Prisma Redis Keycloak. BDD : PostgreSQL. CI/CD : Intégration et deploiement continu via Github Actions tests et couverture de code par Jest tests UI Cypress. Infrastructure : AWS Fargate Docker Terraform.""
7,Ingénieur React (Front End JS),""Licorne Society a été missionné par une startup en pleine croissance pour les aider à  trouver leur Ingénieur React (Front End JS)Ce que tu feras Participer activement à  la structuration de l'équipe (tu feras partie des tous premiers !) Apporter ton expérience pour les choix techniques Développer de faà§on autonome les nouvelles fonctionnalités de l'application depuis la phase de design jusqu'à  la livraison Aider pour les prochains recrutements et intégrations Participer aux réflexions sur l'évolution du produit Stack technique ï¸React Firebase""
8,Développeur React Node JS SOPHIA ANTIPOLIS ,""Dans le cadre des activités nous recherchons notre futur développeur FullStack orienté back end afin d'intégrer notre équipe. La mission est à  pourvoir pour notre client historique leader dans le secteur des télécoms  au sein d'une équipe Agile. L'objectif sera de faire la maintenance et l'évolution du portail diagnostic connectivité en front et en back. Vous devrez de participer à  la mise en Å“uvre des test automatisés avec l'instrument protactor ainsi qu'à  la définition de l'architecture technique. Vous travaillerez dans une petite équipe composée de 3 développeurs 100% autonome sur le projet. Nos petit plus !En nous rejoignant vous aurez accà¨s à  des avantages comme la participation l'intéressement le plan d'actionnariat sécurisé et volontaire l'accà¨s à  notre catalogue de formations et certifications ou encore le télétravail. Sans oublier les chà¨ques vacances ! Nous rejoindre c'est aussi saisir la chance de travailler dans une équipe riche oà¹ le cadre de travail est particulià¨rement agréable : petits déjeuners d'agence repas d'équipe Afterworks ... Le profil recherché ? Diplomé(e) d'une école d'ingénieur ou équivalent Bac+5 en informatique vous justifiez d'au moins 1 an d'expérience et vous souhaitez rejoindre un projet ambitieux et techniquement captivant. Doté(e) d'un bon relationnel vous appréciez travailler au sein d'un collectif et faites preuve d'un bon esprit d'entraide. Vous àªtes reconnu(e) pour votre ouverture d'esprit votre écoute et votre capacité à  vous adapter à  des contextes et interlocuteurs variés. Organisé(e) vous travaillez de manià¨re autonome tout en sachant solliciter de l'aide en cas de blocage. Vous possédez de solides compétences en Node JS et React. Vous avez également de bonnes connaissances sur les outils Gitlab et Devops ? Vous recherchez un poste challengeant qui implique de sortir de sa zone de confort ? Alors rejoignez-nous !Capgemini Entreprise handi accueillante conformément à  la norme AFNOR NF X50-783 est également signataire de la charte de la diversité en entreprise""
9,Developpeur Front end Reactjs,""Nous recherchons en CDI un développeur ReactJs pour concevoir et développer les nouvelles fonctionnalités et applications à  destination des clients internes ou externes. Sur un périmà¨tre fonctionnel défini voici vos missions( si vous les acceptez :) : Définir une solution technique adaptée au développement de nouvelles fonctionnalités ou applications en lien avec les PO Réaliser le développement du ou des modules en adaptant le langage de programmation Applique les standards de développement CI/CD tests automatisés sécurité etc... Rédiger la documentation afin d'assurer un suivi de production Vos collaborez avec les développeurs de votre équipe testeurs et PO . Vous interagissez avec le Lead Dev le lead tribu Automatisation et les autre tribus Ce que nous recherchons: Ce qui fera la différence c'est votre motivation votre relationnel  votre curiosité et votre créativité! Les compétences techniques  à§a compte aussi :) ReactJs HTML5/CSS3 Tests : Behat/Cypress Web services : REST/JSON GitLab CI/CD Redux Backend notamment en Symfony""
10,Développeur Python,""Description du poste En tant que Python Developer au sein de l'équipe « scraping » tu intà¨greras notre talentueuse et passionnée équipe Data & Infrastructures  pour nous aider à  optimiser la récolte des données ! Tu auras pour missions principales : Réalisation de spiders pour le scraping Organisation des spiders dans le cloud Documentation des spiders Qualifications Bac +2 et/ou autodidacte dans une filià¨re informatique Tu justifies d'une expérience d'au moins 1 an y compris stage Tu maà®trises obligatoirement : le HTML  le Javascript et le Python Le REST et le SOAP n'ont pas de secrets pour toi Tu as des connaissances sur la librairie Scrapy-python Tu es enthousiaste  autonome et polyvalent(e) Tu aimes les challenges""
